review,is_bad_review
hello bloody stool bloody mucus around day get mildly bad brother rectal cancer age many health issue swell stomach around month since baby section get increasingly bad never get less well painful stomach.  tire time feel i'll sick weak especially last day would grateful advice pleas many thanks ,0
post since,0
may,0
hi there..hiw symptoms ,0
post since,0
aug,0
hi come,0
post since,0
dec,0
hi pan colitis....ulcerative colitis entire bowel,0
post since,0
aug,0
thankyou hope well symptom hardly pain i'm freaking mind ask age ,0
post since,0
aug,0
hi outcome,0
post since,0
aug,0
hi mucus blood month along bloat stomach constantly rumble gurgle always urgency toilet morning.  i'm scar worried something serious.  get hospital appointment recently pandemic take blood sample week ago i'm wait panic actually destroy anxiety month think bad constantly google things.  ,0
post since,0
aug,0
hi i'm anxiety roof colonoscopy last week kind colitis they've take sample find type know soon colitis commonly diagnose mid symptom try think positive,0
post since,0
aug,0
hi symptom small ache right rib ct wednesday result let guy know ,0
post since,0
sep,0
hi also suppose colonoscopy due symptom december also get cancel due covid reschedule sep wonder anyone give advice symptom mention,0
post since,0
sep,0
hi cupcake similar symptom exception fever refer colonoscopy do sept symptom start april,0
post since,0
oct,0
hi all. ,0
post since,0
nov,0
hi exactly symptoms i'm sooo scar ever receive diagnosis,0
post since,0
nov,0
want post bc last couple week glue forum worried girlfriend bleed mucus last month intermittently consistently heavy point every day strangely maintain regular consistency didn’t increase visit loo also bloat loud stomach gurgle recommend urgent colonoscopy stool sample occult blood completely prepare bad luckily come back procitis doctor reassure she’s respond quickly med symptom severe i’m amaze mild case wish everyone best sorry you’ve see post different thread want post experience offer reassurance,0
post since,0
jan,0
hi reading message feel lot mucus stool sometimes yellow mucus stomach crumps blood stool thats making confuse worried cancer stool test do also fit test detect blood stool clear touch inside bowel right feel slightly  raise bump also gp felt gastrointestinal specialist say uterus make even confused think feel uterus bowles sorry forgot mention multiple fibroid uterus  my stomach alway hurt also open bowles feel still need go back i'm constipate,0
post since,0
nov,0
hi  how got on loose stool around month  mucus  and blood become often notice month  bloated sore left abdomen gas  i also run toilet morning. ,0
post since,0
nov,0
get also symptoms start feel worried. ,0
post since,0
nov,0
‍ ,0
post since,0
nov,0
‍ thanks get back get really anxious hop anything serious. ,0
post since,0
jan,0
wanted message situation weeks of pure worry know wrong me. me year older positive stool test blood stool one fit test screen bowl cancer freak listen anyone google read forum online trust make bad rectal bleeding around month come sudden pretty weird stool change one minute constipate loose stool normal ish look stool kinda narrow colonoscopy today mild colitis think big,0
post since,0
jan,0
hi i'm since april streak blood stool drop blood bowel movement month mild abdominal pain reading alot google finally make mind contact gp various blood test calprotectin test come high good find infection h.pylori give antibiotic month omeprazole clear infection abdominal pain go still mucus blood stool continue get another telephonic appointment tomorrow consultant willing see month also ask sigmoidoscopy test due coronavirus luck hospital busy finger cross get call hospital today book come tuesday i'm tense stress anxious scar know deal stop read google completely courage speak family partner something upside can't cope breath heavy whenever think consequence immediate family friend want stress also farway stuck think fly back country fast treatment diagnosis can't stick financially lockdown ,0
post since,0
jan,0
hi diarreah blood mucus stool four week test say gastrointeritis stool test say bacteria check parasite i'm food loose weight probably i'm eat find difficult drink water anxiousness chart full body scan camera soon stool yellow look slimey stringy i'm scar everything test finding everything lose dad covid worry take test need advice support please anyone ,0
post since,0
nov,0
disneyqueen hi try worry  i drastically change diet low fodmap diet help much convinced something bad wrong,0
post since,0
jan,0
thank much reply get quite nautilus feel twinge pain ribs well stomach i'm try positive i'm afraid get much kind diet eat i'll try anything moment ,0
post since,0
jan,0
thank for answering eat diet.i'm really worried guess help. ,0
post since,0
jan,0
hi,0
post since,0
jan,0
scan yesterday see anything colonoscopy week tell could parasite amount stress due dad die covid elevate situation mucus stool say fissure something go for  a month blood go i'm try positive undecided colonoscopy know feel worry always chat make feel well together support other.  ,0
post since,0
jan,0
thanks much response.i'm sorry hear dad can't imagine i'd cop circumstances. ,0
post since,0
jan,0
thank much need positive support right little discomfort worth reassure nothing wrong need chat get stop look possible reason problem send mad soon possible think brave thank support say dad tough year many people,0
post since,0
jan,0
thanks i'm need chat,0
post since,0
jan,0
mine take four day parasite test though everything  came back clear except parasite test fast track test know i'm nervous want reassure worry symptom blood stool come back clear want check i'm naucious pain eat lose weight pain that's great sign xx,0
post since,0
jan,0
thanks feel bit well,0
post since,0
jan,0
welcome please let know get i'm need chat,0
post since,0
jan,0
thanks,0
post since,0
jan,0
check bacteria stool blood check marker thing would indicate problem i'm think want whole test eliminate everything time ponder anything stress overwhelming guess do do i'm go positive little strong i'll know tomorrow,0
post since,0
jan,0
thanks answer good luck tomorrow,0
post since,0
jan,0
thank much stay strong,0
post since,0
jan,0
felt like additional symptom last night gas building pas take minute could release happen time concern could bite sign blockage morning worry well go toilet twice space min first one hard second one loose blood,0
post since,0
jan,0
hi i'm sorry think replied cannot see sound like experience symptom day go convinced blockage panic thus result eat lot scar blood clear i'm happy come back clear please worry hopefully might help today colonoscopy result small polyp culprit bleed test negative polyp remove soon feel relieved please stay strong try think bad might simple need,0
post since,0
jan,0
glad hear find must load mind  ,0
post since,0
jan,0
one thing can't find answer,0
post since,0
jan,0
hi tell look bacteria parasite something disrupts line that's tell hope help look everything time finish get every possible illness play mind much worry day stress worry disturb tummy make feel sick stop eat lose weight snowball positive know someone listen brilliant thank,0
